mandate_id,mandate,poll_id,vote,reason_no_show,reason_no_show_other,politician name
68376,Sanae Abdi (Bundestag 2025 - 2029),6147,yes,,,Sanae Abdi
68377,Knut Abraham (Bundestag 2025 - 2029),6147,yes,,,Knut Abraham
68378,Doris Achelwilm (Bundestag 2025 - 2029),6147,no,,,Doris Achelwilm
68379,Anna Aeikens (Bundestag 2025 - 2029),6147,yes,,,Anna Aeikens
68380,Adis Ahmetović (Bundestag 2025 - 2029),6147,yes,,,Adis Ahmetović
68381,Gökay Akbulut (Bundestag 2025 - 2029),6147,no_show,,,Gökay Akbulut
68383,Tarek Al-Wazir (Bundestag 2025 - 2029),6147,yes,,,Tarek Al-Wazir
68384,Reem Alabali Radovan (Bundestag 2025 - 2029),6147,no_show,,,Reem Alabali Radovan
68385,Stephan Albani (Bundestag 2025 - 2029),6147,yes,,,Stephan Albani
68386,Alaa Alhamwi (Bundestag 2025 - 2029),6147,yes,,,Alaa Alhamwi
68387,Norbert Maria Altenkamp (Bundestag 2025 - 2029),6147,yes,,,Norbert Maria Altenkamp
68388,Philipp Amthor (Bundestag 2025 - 2029),6147,yes,,,Philipp Amthor
68389,Luise Amtsberg (Bundestag 2025 - 2029),6147,yes,,,Luise Amtsberg
68390,Michael „Moses“ Arndt (Bundestag 2025 - 2029),6147,no,,,Michael „Moses“ Arndt
68391,Alexander Arpaschi (Bundestag 2025 - 2029),6147,no,,,Alexander Arpaschi
68392,Ayse Asar (Bundestag 2025 - 2029),6147,yes,,,Ayse Asar
69042,Reza Asghari (Bundestag 2025 - 2029),6147,no_show,,,Reza Asghari
68393,Tijen Ataoğlu (Bundestag 2025 - 2029),6147,yes,,,Tijen Ataoğlu
68394,Andreas Audretsch (Bundestag 2025 - 2029),6147,yes,,,Andreas Audretsch
68395,Artur Auernhammer (Bundestag 2025 - 2029),6147,yes,,,Artur Auernhammer
68396,Peter Aumer (Bundestag 2025 - 2029),6147,yes,,,Peter Aumer
68397,Cornell-Anette Babendererde (Bundestag 2025 - 2029),6147,yes,,,Cornell-Anette Babendererde
68398,Carolin Bachmann (Bundestag 2025 - 2029),6147,no,,,Carolin Bachmann
68399,Lisa Badum (Bundestag 2025 - 2029),6147,yes,,,Lisa Badum
68400,Annalena Baerbock (Bundestag 2025 - 2029),6147,yes,,,Annalena Baerbock
68401,Daniel Baldy (Bundestag 2025 - 2029),6147,yes,,,Daniel Baldy
68402,Adam Balten (Bundestag 2025 - 2029),6147,no_show,,,Adam Balten
68403,Felix Banaszak (Bundestag 2025 - 2029),6147,yes,,,Felix Banaszak
68460,Dorothee Bär (Bundestag 2025 - 2029),6147,yes,,,Dorothee Bär
68461,Karl Bär (Bundestag 2025 - 2029),6147,yes,,,Karl Bär
